w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.6,20,0.013636,0.052954,0.971174,0.961445,0.039318,0.600000
0.6,21,0.013449,0.052565,0.971174,0.961639,0.039116,0.600000
0.6,22,0.013271,0.052184,0.971434,0.961834,0.038913,0.600000
0.6,23,0.013095,0.051806,0.971520,0.962029,0.038710,0.600000
0.6,24,0.012927,0.051434,0.971693,0.962225,0.038507,0.600000
0.6,25,0.012768,0.051072,0.971693,0.962421,0.038304,0.600000
0.6,26,0.012617,0.050718,0.971520,0.962616,0.038100,0.600000
0.6,27,0.012477,0.050374,0.971780,0.962811,0.037898,0.600000
0.6,28,0.012341,0.050037,0.971866,0.963006,0.037696,0.600000
0.6,29,0.012211,0.049705,0.971953,0.963200,0.037494,0.600000
0.6,30,0.012088,0.049382,0.972213,0.963393,0.037294,0.600000
0.7,1,0.014611,0.042226,0.967884,0.972763,0.027615,0.700000
0.7,2,0.013820,0.041327,0.971347,0.972868,0.027507,0.700000
0.7,3,0.013688,0.041085,0.971520,0.972975,0.027396,0.700000
0.7,4,0.013652,0.040942,0.971607,0.973079,0.027290,0.700000
0.7,5,0.013465,0.040657,0.972039,0.973175,0.027191,0.700000
0.7,6,0.013226,0.040327,0.972039,0.973263,0.027101,0.700000
0.7,7,0.012984,0.039997,0.972472,0.973349,0.027013,0.700000
0.7,8,0.012803,0.039726,0.971866,0.973436,0.026923,0.700000
0.7,9,0.012668,0.039499,0.972039,0.973525,0.026831,0.700000
0.7,10,0.012566,0.039301,0.972559,0.973619,0.026735,0.700000
0.7,11,0.012470,0.039105,0.972126,0.973717,0.026635,0.700000
0.7,12,0.012361,0.038892,0.971866,0.973818,0.026531,0.700000
0.7,13,0.012239,0.038662,0.972299,0.973923,0.026423,0.700000
0.7,14,0.012105,0.038419,0.972645,0.974030,0.026313,0.700000
0.7,15,0.011970,0.038172,0.973078,0.974138,0.026202,0.700000
0.7,16,0.011849,0.037938,0.973251,0.974248,0.026089,0.700000
0.7,17,0.011737,0.037712,0.973511,0.974359,0.025976,0.700000
0.7,18,0.011636,0.037498,0.973771,0.974469,0.025862,0.700000
0.7,19,0.011542,0.037291,0.973771,0.974579,0.025750,0.700000
0.7,20,0.011450,0.037088,0.974290,0.974688,0.025638,0.700000
0.7,21,0.011359,0.036887,0.974290,0.974795,0.025528,0.700000
